cardNum	cardId	title	color	level	rarity	imagePath	effect	cutIn	hirameki	illustrator	flavor	qAndA
PR012	0162	……なるほどな…	青	7	PR	1714459332004710.jpg	このカードを表向きのまま証拠として得る。		【ヒラメキ】（証拠からリムーブされるときに発動する）自分は証拠を1つ得る。			{"証拠エリアに表向きで置かれているこのカードが、相手のアクション［事件］によってリムーブされた場合、【ヒラメキ】は発動しますか？":"はい。発動させることができます。"}
PR013	0163	そーいう事かいな…	緑	7	PR	1714459332009771.jpg	このカードを表向きのまま証拠として得る。		【ヒラメキ】（証拠からリムーブされるときに発動する）自分は証拠を1つ得る。			{"証拠エリアに表向きで置かれているこのカードが、相手のアクション［事件］によってリムーブされた場合、【ヒラメキ】は発動しますか？":"はい。発動させることができます。"}
PR014	0164	頂いて行くぜ！	白	7	PR	1714459332013056.jpg	このカードを表向きのまま証拠として得る。		【ヒラメキ】（証拠からリムーブされるときに発動する）自分は証拠を1つ得る。			{"証拠エリアに表向きで置かれているこのカードが、相手のアクション［事件］によってリムーブされた場合、【ヒラメキ】は発動しますか？":"はい。発動させることができます。"}
PR015	0165	なるほど…	赤	7	PR	1714459332017701.jpg	このカードを表向きのまま証拠として得る。		【ヒラメキ】（証拠からリムーブされるときに発動する）自分は証拠を1つ得る。			{"証拠エリアに表向きで置かれているこのカードが、相手のアクション［事件］によってリムーブされた場合、【ヒラメキ】は発動しますか？":"はい。発動させることができます。"}
PR016	0166	拳銃か！！	黄	7	PR	1714459332021950.jpg	このカードを表向きのまま証拠として得る。		【ヒラメキ】（証拠からリムーブされるときに発動する）自分は証拠を1つ得る。			{"証拠エリアに表向きで置かれているこのカードが、相手のアクション［事件］によってリムーブされた場合、【ヒラメキ】は発動しますか？":"はい。発動させることができます。"}
PR017	0162	……なるほどな…	青	7	PR	1714459332024588.jpg	このカードを表向きのまま証拠として得る。		【ヒラメキ】（証拠からリムーブされるときに発動する）自分は証拠を1つ得る。			{"証拠エリアに表向きで置かれているこのカードが、相手のアクション［事件］によってリムーブされた場合、【ヒラメキ】は発動しますか？":"はい。発動させることができます。"}
PR018	0163	そーいう事かいな…	緑	7	PR	1714459332028827.jpg	このカードを表向きのまま証拠として得る。		【ヒラメキ】（証拠からリムーブされるときに発動する）自分は証拠を1つ得る。			{"証拠エリアに表向きで置かれているこのカードが、相手のアクション［事件］によってリムーブされた場合、【ヒラメキ】は発動しますか？":"はい。発動させることができます。"}
PR019	0164	頂いて行くぜ！	白	7	PR	1714459332032196.jpg	このカードを表向きのまま証拠として得る。		【ヒラメキ】（証拠からリムーブされるときに発動する）自分は証拠を1つ得る。			{"証拠エリアに表向きで置かれているこのカードが、相手のアクション［事件］によってリムーブされた場合、【ヒラメキ】は発動しますか？":"はい。発動させることができます。"}
PR020	0165	なるほど…	赤	7	PR	1714459332036403.jpg	このカードを表向きのまま証拠として得る。		【ヒラメキ】（証拠からリムーブされるときに発動する）自分は証拠を1つ得る。			{"証拠エリアに表向きで置かれているこのカードが、相手のアクション［事件］によってリムーブされた場合、【ヒラメキ】は発動しますか？":"はい。発動させることができます。"}
PR021	0166	拳銃か！！	黄	7	PR	1714459332040644.jpg	このカードを表向きのまま証拠として得る。		【ヒラメキ】（証拠からリムーブされるときに発動する）自分は証拠を1つ得る。			{"証拠エリアに表向きで置かれているこのカードが、相手のアクション［事件］によってリムーブされた場合、【ヒラメキ】は発動しますか？":"はい。発動させることができます。"}
PR062	0406	RUM!!	黒	7	PR	1732542002106556.jpg	このカードを表向きのまま証拠として得る。		【ヒラメキ】（証拠からリムーブされるときに発動する）自分は証拠を1つ得る。			{"証拠エリアに表向きで置かれているこのカードが、相手のアクション［事件］によってリムーブされた場合、【ヒラメキ】は発動しますか？":"はい。発動させることができます。"}
PR066	0406	RUM!!	黒	7	PR	1732542002121459.jpg	このカードを表向きのまま証拠として得る。		【ヒラメキ】（証拠からリムーブされるときに発動する）自分は証拠を1つ得る。			{"証拠エリアに表向きで置かれているこのカードが、相手のアクション［事件］によってリムーブされた場合、【ヒラメキ】は発動しますか？":"はい。発動させることができます。"}
PR156	0625	「もう少し引き付けろ…」	赤	7	PR	1753704129523810.jpg	【パートナー赤】レベル7以下のキャラを1枚まで選び、リムーブする。自分の現場にいるキャラを1枚まで選び、ターン終了時まで〚突撃［事件］〛（登場したターンからすぐに事件を指定してアクションできる）を与える。		【ヒラメキ】（証拠からリムーブされるときに発動する）カードを1枚引く。			Q：キャラをリムーブせず、自分の現場にいるキャラに突撃［事件］を与えることはできますか？\nA：はい。効果の1文目も2文目も「1枚まで」なので、それぞれ選ばない（0枚を選択する）ことができます。
PR162	0625	「もう少し引き付けろ…」	赤	7	PR	1753704129555312.jpg	【パートナー赤】レベル7以下のキャラを1枚まで選び、リムーブする。自分の現場にいるキャラを1枚まで選び、ターン終了時まで〚突撃［事件］〛（登場したターンからすぐに事件を指定してアクションできる）を与える。		【ヒラメキ】（証拠からリムーブされるときに発動する）カードを1枚引く。			Q：キャラをリムーブせず、自分の現場にいるキャラに突撃［事件］を与えることはできますか？\nA：はい。効果の1文目も2文目も「1枚まで」なので、それぞれ選ばない（0枚を選択する）ことができます。
PR178	0729	「助けて平次ィ!!!」	緑	6	PR	1759195553222908.jpg	自分のデッキのカードを上から3枚リムーブしてもよい。そうした場合、自分のリムーブエリアにあるレベル6以下のキャラを1枚まで選び、登場させる。	【カットイン】【自分ターン中】AP＋3000（自分のターンのコンタクト中に手札からリムーブして使う）				Q：自分のデッキが2枚以下の場合、すべてリムーブして以降の効果を解決することはできますか？\nA：いいえ。「自分のデッキのカードを上から3枚リムーブする」が実行できない場合、それ以降の効果は解決できません。\n\nQ：自分のデッキが3枚でこのイベントを使用した場合、どのタイミングで「リフレッシュ」を行いますか？\nA：「自分のデッキのカードを上から3枚リムーブする」まで解決したところで即座に「リフレッシュ」を行います。ですので、リムーブエリアのカードがなくなり「そうした場合、～」でキャラを選んで登場させることはできません。\n\nQ：デッキの上からリムーブしたカードを選んで登場させることはできますか？\nA：はい。レベル6以下のキャラであれば選んで登場させることができます。
